quad,horz,vert,valu
0,0,0,2
1,0,1,2
2,0,2,4
3,0,3,3
4,0,4,3
5,0,5,3
6,0,6,0
7,0,7,2
8,0,8,4
9,0,9,3
10,0,10,3
11,0,11,3
12,0,12,4
13,0,13,4
14,0,14,4
15,0,15,2
16,0,16,1
17,0,17,4
18,0,18,4
19,0,19,3
20,0,20,3
21,0,21,3
22,0,22,0
23,0,23,2
24,0,24,1
100,1,0,2
101,1,1,2
102,1,2,2
103,1,3,1
104,1,4,3
105,1,5,4
106,1,6,4
107,1,7,0
108,1,8,2
109,1,9,4
110,1,10,4
111,1,11,3
112,1,12,1
113,1,13,4
114,1,14,1
115,1,15,1
116,1,16,4
117,1,17,1
118,1,18,1
119,1,19,1
120,1,20,4
121,1,21,3
122,1,22,4
123,1,23,4
124,1,24,2
200,2,0,4
201,2,1,2
202,2,2,2
203,2,3,4
204,2,4,4
205,2,5,2
206,2,6,4
207,2,7,2
208,2,8,4
209,2,9,2
210,2,10,2
211,2,11,4
212,2,12,1
213,2,13,4
214,2,14,2
215,2,15,4
216,2,16,4
217,2,17,3
218,2,18,1
219,2,19,1
220,2,20,2
221,2,21,4
222,2,22,4
223,2,23,4
224,2,24,2
300,3,0,0
301,3,1,2
302,3,2,2
303,3,3,2
304,3,4,4
305,3,5,2
306,3,6,4
307,3,7,0
308,3,8,2
309,3,9,2
310,3,10,4
311,3,11,2
312,3,12,1
313,3,13,2
314,3,14,4
315,3,15,1
316,3,16,1
317,3,17,4
318,3,18,1
319,3,19,1
320,3,20,3
321,3,21,3
322,3,22,3
323,3,23,1
324,3,24,1
400,4,0,2
401,4,1,2
402,4,2,4
403,4,3,4
404,4,4,2
405,4,5,4
406,4,6,2
407,4,7,4
408,4,8,4
409,4,9,4
410,4,10,4
411,4,11,0
412,4,12,2
413,4,13,1
414,4,14,4
415,4,15,1
416,4,16,1
417,4,17,4
418,4,18,1
419,4,19,1
420,4,20,0
421,4,21,4
422,4,22,2
423,4,23,1
424,4,24,1
500,5,0,0
501,5,1,2
502,5,2,4
503,5,3,2
504,5,4,2
505,5,5,2
506,5,6,4
507,5,7,2
508,5,8,2
509,5,9,2
510,5,10,4
511,5,11,3
512,5,12,4
513,5,13,1
514,5,14,1
515,5,15,3
516,5,16,1
517,5,17,2
518,5,18,4
519,5,19,3
520,5,20,0
521,5,21,4
522,5,22,2
523,5,23,1
524,5,24,4
600,6,0,4
601,6,1,4
602,6,2,4
603,6,3,2
604,6,4,0
605,6,5,2
606,6,6,4
607,6,7,4
608,6,8,3
609,6,9,4
610,6,10,3
611,6,11,3
612,6,12,4
613,6,13,1
614,6,14,2
615,6,15,1
616,6,16,2
617,6,17,2
618,6,18,2
619,6,19,4
620,6,20,2
621,6,21,1
622,6,22,3
623,6,23,4
624,6,24,2
700,7,0,4
701,7,1,4
702,7,2,2
703,7,3,2
704,7,4,2
705,7,5,2
706,7,6,4
707,7,7,3
708,7,8,2
709,7,9,2
710,7,10,3
711,7,11,3
712,7,12,4
713,7,13,3
714,7,14,0
715,7,15,2
716,7,16,2
717,7,17,4
718,7,18,2
719,7,19,4
720,7,20,3
721,7,21,0
722,7,22,4
723,7,23,3
724,7,24,3
800,8,0,4
801,8,1,4
802,8,2,4
803,8,3,2
804,8,4,2
805,8,5,4
806,8,6,4
807,8,7,4
808,8,8,1
809,8,9,3
810,8,10,4
811,8,11,2
812,8,12,1
813,8,13,4
814,8,14,2
815,8,15,2
816,8,16,4
817,8,17,2
818,8,18,2
819,8,19,0
820,8,20,0
821,8,21,0
822,8,22,0
823,8,23,4
824,8,24,4
900,9,0,0
901,9,1,3
902,9,2,4
903,9,3,0
904,9,4,0
905,9,5,4
906,9,6,4
907,9,7,4
908,9,8,3
909,9,9,3
910,9,10,3
911,9,11,2
912,9,12,3
913,9,13,4
914,9,14,2
915,9,15,0
916,9,16,0
917,9,17,2
918,9,18,1
919,9,19,4
920,9,20,4
921,9,21,4
922,9,22,3
923,9,23,2
924,9,24,1
1000,10,0,0
1001,10,1,4
1002,10,2,4
1003,10,3,0
1004,10,4,0
1005,10,5,2
1006,10,6,2
1007,10,7,4
1008,10,8,3
1009,10,9,3
1010,10,10,3
1011,10,11,2
1012,10,12,4
1013,10,13,0
1014,10,14,0
1015,10,15,0
1016,10,16,4
1017,10,17,2
1018,10,18,2
1019,10,19,1
1020,10,20,4
1021,10,21,2
1022,10,22,4
1023,10,23,4
1024,10,24,1
1100,11,0,4
1101,11,1,3
1102,11,2,2
1103,11,3,0
1104,11,4,2
1105,11,5,3
1106,11,6,4
1107,11,7,2
1108,11,8,3
1109,11,9,3
1110,11,10,4
1111,11,11,1
1112,11,12,1
1113,11,13,3
1114,11,14,0
1115,11,15,4
1116,11,16,1
1117,11,17,4
1118,11,18,2
1119,11,19,2
1120,11,20,4
1121,11,21,4
1122,11,22,1
1123,11,23,1
1124,11,24,1
1200,12,0,2
1201,12,1,2
1202,12,2,4
1203,12,3,3
1204,12,4,2
1205,12,5,4
1206,12,6,1
1207,12,7,2
1208,12,8,4
1209,12,9,4
1210,12,10,4
1211,12,11,1
1212,12,12,1
1213,12,13,1
1214,12,14,3
1215,12,15,1
1216,12,16,1
1217,12,17,1
1218,12,18,4
1219,12,19,2
1220,12,20,1
1221,12,21,3
1222,12,22,3
1223,12,23,1
1224,12,24,1
1300,13,0,0
1301,13,1,0
1302,13,2,4
1303,13,3,2
1304,13,4,4
1305,13,5,3
1306,13,6,2
1307,13,7,4
1308,13,8,2
1309,13,9,4
1310,13,10,4
1311,13,11,4
1312,13,12,1
1313,13,13,2
1314,13,14,4
1315,13,15,2
1316,13,16,2
1317,13,17,4
1318,13,18,2
1319,13,19,4
1320,13,20,4
1321,13,21,3
1322,13,22,4
1323,13,23,1
1324,13,24,1
1400,14,0,0
1401,14,1,3
1402,14,2,0
1403,14,3,0
1404,14,4,4
1405,14,5,4
1406,14,6,2
1407,14,7,2
1408,14,8,4
1409,14,9,4
1410,14,10,2
1411,14,11,3
1412,14,12,4
1413,14,13,2
1414,14,14,2
1415,14,15,0
1416,14,16,2
1417,14,17,2
1418,14,18,1
1419,14,19,4
1420,14,20,3
1421,14,21,4
1422,14,22,4
1423,14,23,1
1424,14,24,1
1500,15,0,4
1501,15,1,1
1502,15,2,4
1503,15,3,3
1504,15,4,3
1505,15,5,4
1506,15,6,3
1507,15,7,1
1508,15,8,4
1509,15,9,2
1510,15,10,3
1511,15,11,3
1512,15,12,3
1513,15,13,2
1514,15,14,3
1515,15,15,4
1516,15,16,2
1517,15,17,3
1518,15,18,4
1519,15,19,2
